n,h,l2,l2_rate,h1,h1_rate,nodal
10,0.1,0.006352750068194847,nan,0.20113137568850217,nan,6.799974694882138e-06
20,0.05,0.0015915705408851646,1.9969301604306533,0.10068981378795143,0.9982204123149322,4.233349608639969e-07
40,0.025,0.00039810448667406886,1.9992320649431088,0.05036043635081684,0.9995550529926596,2.6432519284469436e-08
80,0.0125,9.953936883468931e-05,1.999807986598559,0.025182159785483896,0.9998887601681243,1.651597081320233e-09
160,0.00625,2.488567026017005e-05,1.9999519946357707,0.012591322607370852,0.9999721898503147,1.0321143939506783e-10
