n,iterations,iteration_growth,condition_number,check
10,9,nan,39.863458189061404,1.1815643981708461e-15
20,19,2.111111111111111,161.44763879758852,6.290873781907701e-15
40,39,2.0526315789473686,647.7890114778452,1.1346262670837918e-14
80,79,2.0256410256410255,2593.155660280848,6.511785805668527e-14
160,159,2.0126582278481013,10374.622544734344,1.9109479760065963e-13
320,319,2.006289308176101,41500.49015484128,5.413985318802895e-13
640,639,2.0031347962382444,166003.96061334113,2.8715163925025034e-12
