n,iterations,iteration_growth,condition_number,check
10,1,nan,39.863458189061404,0.006352750068194702
20,1,1.0,161.44763879758852,0.0015915705408839147
40,1,1.0,647.7890114778452,0.0003981044866755535
80,1,1.0,2593.155660280848,9.953936882751812e-05
160,1,1.0,10374.622544734344,2.4885670245306775e-05
320,2,2.0,41500.49015484128,6.221469317850862e-06
640,4,2.0,166003.96061334113,1.5553705520861992e-06
